127.0.0.1 - - [23/Jun/2022:15:30:02 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:30:03 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:30:03 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:30:07 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:30:09 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:30:20 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:30:20 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:30:27 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13878
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:30:39 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 10003
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:30:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:30:52 +0530] "POST /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 4737
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:30:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:30:58 +0530] "POST /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:30:58 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 10003
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:30:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:31:01 +0530] "POST /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 7429
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:31:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:31:08 +0530] "POST /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 8876
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:31:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:31:19 +0530] "POST /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 4737
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:31:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:31:30 +0530] "POST /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:31:30 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 10003
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:31:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Jun/2022:15:50:11 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13878
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:20:30 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 2630
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:20:43 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:20:43 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 10003
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:20:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:20:45 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 10003
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:20:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:20:53 +0530] "POST /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 4737
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:20:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:20:56 +0530] "POST /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:20:56 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 10003
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:20:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:21:00 +0530] "POST /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 7429
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:21:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:21:05 +0530] "POST /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 4737
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:21:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:21:07 +0530] "POST /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:21:07 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 10003
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:21:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:21:11 +0530] "POST /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 4737
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:21:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:21:18 +0530] "POST /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:21:18 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 10003
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:21:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [23/Jun/2022:16:21:23 +0530] "POST /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 8876
