127.0.0.1 - - [15/Jun/2022:14:17:17 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:17:19 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:17:19 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:24:11 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:24:13 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:24:14 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:24:14 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:24:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:24:22 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 6005
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:24:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:25:14 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 6026
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:25:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:44:01 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:44:01 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:44:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:44:04 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:44:15 +0530] "GET /ORS_Project4/ctl/ HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:45:34 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2605
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:45:44 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:45:44 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:45:53 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13944
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:45:53 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:46:01 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:46:07 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 2630
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:47:03 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:47:03 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13944
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:48:00 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13944
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:53:41 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:53:55 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:54:00 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:54:13 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:54:13 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:54:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:54:16 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:54:32 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:54:33 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:54:38 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:54:45 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:58:10 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:14:58:10 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:02:55 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13944
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:10:22 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13957
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:10:29 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 11917
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:13:01 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13957
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:17:02 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:17:03 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13944
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:17:22 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13970
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:17:36 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13970
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:17:55 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13957
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:17:58 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 11917
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:18:05 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13981
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:18:40 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13924
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:18:42 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 11199
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:18:59 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13948
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:19:09 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 4139
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:19:20 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:19:20 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13878
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:19:29 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 7734
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:19:40 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:19:40 +0530] "GET /ORS_Project4/ctl/MarksheetCtl HTTP/1.1" 200 7981
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:19:46 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13878
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:19:50 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=1 HTTP/1.1" 200 7991
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:20:43 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=100 HTTP/1.1" 200 7981
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:22:55 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=1 HTTP/1.1" 200 7991
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:23:34 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13878
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:38:06 +0530] "GET /ORS_Project4/ctl/GetMarksheetCtl HTTP/1.1" 200 4302
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:38:29 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13878
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:38:30 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13878
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:40:36 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=1 HTTP/1.1" 200 7991
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:42:11 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13878
0:0:0:0:0:0:0:1 - - [15/Jun/2022:15:44:57 +0530] "POST /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13891
