127.0.0.1 - - [07/Jun/2022:16:06:39 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:06:41 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:06:41 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:17:22 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:17:24 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:17:30 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:17:41 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:19:11 +0530] "GET /ORS_Project4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:19:11 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:27:18 +0530] "GET /ORS_Project4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:27:18 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:28:50 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:29:10 +0530] "GET /ORS_Project4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:29:10 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:29:14 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:31:16 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:31:31 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:31:36 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:32:04 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:32:14 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:33:43 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:34:15 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:35:01 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:35:01 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:35:45 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:36:09 +0530] "GET /ORS_Project4/ctl/ HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:38:09 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:38:11 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:38:13 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:38:14 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:38:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:38:30 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:38:32 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:39:32 +0530] "GET /ORS_Project4/MarksheetListCtl HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:39:32 +0530] "GET /ORS_Project4/img/customLogo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:39:38 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:39:55 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:42:38 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:49:09 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2604
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:49:20 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2587
0:0:0:0:0:0:0:1 - - [07/Jun/2022:16:50:27 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3314
