127.0.0.1 - - [13/Jun/2022:15:37:23 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:37:25 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:37:25 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:39:14 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:39:19 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:39:31 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2582
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:39:41 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2599
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:40:47 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2599
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:47:13 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2605
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:47:17 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2605
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:47:21 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2605
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:47:29 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2605
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:47:36 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2605
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:48:00 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:48:00 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:48:02 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:48:04 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:48:15 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:50:34 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:51:54 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:57:18 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:57:19 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:57:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
