0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:57:22 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [21/Sep/2022:14:00:32 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [21/Sep/2022:14:01:45 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [21/Sep/2022:14:02:46 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [21/Sep/2022:14:03:00 +0530] "GET /ORS_Project4/ctl/ HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [21/Sep/2022:14:07:42 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:14:07:42 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [21/Sep/2022:14:07:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [21/Sep/2022:14:07:46 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [21/Sep/2022:14:07:48 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [21/Sep/2022:14:07:49 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [21/Sep/2022:14:09:13 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:14:09:13 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [21/Sep/2022:14:09:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [21/Sep/2022:14:12:37 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [21/Sep/2022:14:22:52 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:14:22:52 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [21/Sep/2022:14:22:54 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13878
0:0:0:0:0:0:0:1 - - [21/Sep/2022:14:22:57 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=1 HTTP/1.1" 200 7995
0:0:0:0:0:0:0:1 - - [21/Sep/2022:14:26:18 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2571
