0:0:0:0:0:0:0:1 - - [30/Jun/2022:15:22:27 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 10042
0:0:0:0:0:0:0:1 - - [30/Jun/2022:15:22:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [30/Jun/2022:15:22:40 +0530] "POST /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 8333
0:0:0:0:0:0:0:1 - - [30/Jun/2022:15:22:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [30/Jun/2022:15:22:46 +0530] "POST /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 4737
0:0:0:0:0:0:0:1 - - [30/Jun/2022:15:22:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [30/Jun/2022:15:22:47 +0530] "POST /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:15:22:47 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 10042
0:0:0:0:0:0:0:1 - - [30/Jun/2022:15:22:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [30/Jun/2022:15:28:03 +0530] "GET /ORS_Project4/ctl/TimeTableCtl?id=7 HTTP/1.1" 200 8353
0:0:0:0:0:0:0:1 - - [30/Jun/2022:15:28:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [30/Jun/2022:15:32:13 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9717
0:0:0:0:0:0:0:1 - - [30/Jun/2022:15:34:34 +0530] "GET /ORS_Project4/ctl/UserCtl?id=5 HTTP/1.1" 200 8840
0:0:0:0:0:0:0:1 - - [30/Jun/2022:15:34:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
