127.0.0.1 - - [27/Jun/2022:12:42:13 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [27/Jun/2022:12:42:14 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [27/Jun/2022:12:42:14 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [27/Jun/2022:12:42:42 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [27/Jun/2022:12:42:49 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [27/Jun/2022:12:42:51 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jun/2022:12:42:51 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [27/Jun/2022:12:42:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [27/Jun/2022:12:47:10 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [27/Jun/2022:12:47:16 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [27/Jun/2022:12:47:19 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [27/Jun/2022:12:55:30 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [27/Jun/2022:12:55:34 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [27/Jun/2022:12:55:40 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [27/Jun/2022:12:56:23 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [27/Jun/2022:12:56:26 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [27/Jun/2022:12:57:20 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jun/2022:12:57:20 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [27/Jun/2022:12:57:30 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [27/Jun/2022:12:57:45 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:14:35 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:14:35 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:14:39 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13878
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:15:26 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13878
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:15:55 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:16:05 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 2630
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:16:30 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:16:30 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13878
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:31:43 +0530] "GET /ORS_Project4/ctl/MarksheetCtl HTTP/1.1" 200 7981
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:32:03 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13878
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:32:05 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=1 HTTP/1.1" 200 7991
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:48:13 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [27/Jun/2022:13:48:23 +0530] "GET /ORS_Project4 HTTP/1.1" 302 -
