127.0.0.1 - - [15/Jul/2022:14:36:24 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:36:26 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:36:26 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:37:21 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:37:24 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:45:28 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:47:00 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:47:23 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:50:08 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [15/Jul/2022:15:01:08 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [15/Jul/2022:15:09:45 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [15/Jul/2022:15:10:56 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2510
0:0:0:0:0:0:0:1 - - [15/Jul/2022:15:11:00 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:15:11:00 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [15/Jul/2022:15:11:05 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2510
0:0:0:0:0:0:0:1 - - [15/Jul/2022:15:11:12 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2510
0:0:0:0:0:0:0:1 - - [15/Jul/2022:15:11:14 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2510
0:0:0:0:0:0:0:1 - - [15/Jul/2022:15:11:14 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2510
0:0:0:0:0:0:0:1 - - [15/Jul/2022:15:11:15 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2510
0:0:0:0:0:0:0:1 - - [15/Jul/2022:15:11:18 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2510
0:0:0:0:0:0:0:1 - - [15/Jul/2022:15:12:18 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [15/Jul/2022:15:13:46 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2022:15:13:46 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3315
